item_number,location
h3229519,"2239 N GALVEZ ST, New Orleans, Louisiana"
h3238819,"2915 JOSEPHINE ST, New Orleans, Louisiana"
h3238819,"2915 JOSEPHINE ST, New Orleans, Louisiana"
h3245319,"BOURBON ST & SAINT LOUIS ST, New Orleans, Louisiana"
h3357219,"1300 TOURO ST, New Orleans, Louisiana"
h3357219,"1300 TOURO ST, New Orleans, Louisiana"
h3361919,"HICKORY ST & EAGLE ST, New Orleans, Louisiana"
h3361919,"HICKORY ST & EAGLE ST, New Orleans, Louisiana"
h3361919,"HICKORY ST & EAGLE ST, New Orleans, Louisiana"
h3361919,"HICKORY ST & EAGLE ST, New Orleans, Louisiana"
h3411419,"ROYAL ST & CANAL ST, New Orleans, Louisiana"
h3411419,"ROYAL ST & CANAL ST, New Orleans, Louisiana"
h3496119,"1827 MARTIN LUTHER KING JR BD, New Orleans, Louisiana"
h3496119,"1827 MARTIN LUTHER KING JR BD, New Orleans, Louisiana"
h3567519,"213  BOURBON ST, New Orleans, Louisiana"
h3625119,"500 N cortez ST, New Orleans, Louisiana"
h3625119,"500 N cortez ST, New Orleans, Louisiana"
h3625119,"500 N cortez ST, New Orleans, Louisiana"
h3642119,"ALCEE FORTIER BD & CHEF MENTEUR HW, New Orleans, Louisiana"
h3642119,"ALCEE FORTIER BD & CHEF MENTEUR HW, New Orleans, Louisiana"
h3677819,"TOULOUSE ST & BOURBON ST, New Orleans, Louisiana"
h3677819,"TOULOUSE ST & BOURBON ST, New Orleans, Louisiana"
h3773119,"2529 GENERAL MEYER AV, New Orleans, Louisiana"
h3828519,"DOWNMAN ST & HAYNE BD, New Orleans, Louisiana"
h3852919,"8211 OAK ST, New Orleans, Louisiana"
h3933119,"BOURBON ST & conti ST, New Orleans, Louisiana"
h3950519,"WASHINGTON AV & PINE ST, New Orleans, Louisiana"
h3950519,"WASHINGTON AV & PINE ST, New Orleans, Louisiana"
h4002719,"833 LIZARDI ST, New Orleans, Louisiana"
h4002719,"833 LIZARDI ST, New Orleans, Louisiana"
h4122519,"1200 CHARTRES ST, New Orleans, Louisiana"
h4122519,"1200 CHARTRES ST, New Orleans, Louisiana"
h4156519,"1600 ELYSIAN FIELDS AV, New Orleans, Louisiana"
h4156519,"1600 ELYSIAN FIELDS AV, New Orleans, Louisiana"
h4156519,"1600 ELYSIAN FIELDS AV, New Orleans, Louisiana"
h4267919,"FRERET ST & BURDETTE ST, New Orleans, Louisiana"
h4267919,"FRERET ST & BURDETTE ST, New Orleans, Louisiana"
h4267919,"FRERET ST & BURDETTE ST, New Orleans, Louisiana"
h4267919,"FRERET ST & BURDETTE ST, New Orleans, Louisiana"
h4267919,"FRERET ST & BURDETTE ST, New Orleans, Louisiana"
h4270019,"940 SAINT LOUIS ST, New Orleans, Louisiana"
h4270019,"940 SAINT LOUIS ST, New Orleans, Louisiana"
h4275819,"PATTERSON ST & WHITNEY AV, New Orleans, Louisiana"
h4380119,"TOULOUSE ST & BOURBON ST, New Orleans, Louisiana"
h4380119,"TOULOUSE ST & BOURBON ST, New Orleans, Louisiana"
h4380119,"TOULOUSE ST & BOURBON ST, New Orleans, Louisiana"
h4381219,"300 BOURBON ST, New Orleans, Louisiana"
h4388219,"SAINT LOUIS ST & DAUPHINE ST, New Orleans, Louisiana"
h4402819,"1400 DECATUR ST, New Orleans, Louisiana"
h4409319,"ODEON & WALL, New Orleans, Louisiana"
h4409319,"ODEON & WALL, New Orleans, Louisiana"
h4409319,"ODEON & WALL, New Orleans, Louisiana"
h4409319,"ODEON & WALL, New Orleans, Louisiana"
i0028819,"1300 N RAMPART ST, New Orleans, Louisiana"
i0028819,"1300 N RAMPART ST, New Orleans, Louisiana"
i0097419,"600 CANAL ST, New Orleans, Louisiana"
i0097419,"600 CANAL ST, New Orleans, Louisiana"
i0097419,"600 CANAL ST, New Orleans, Louisiana"
i0139219,"1800 S LIBERTY ST, New Orleans, Louisiana"
i0139219,"1800 S LIBERTY ST, New Orleans, Louisiana"
i0139219,"1800 S LIBERTY ST, New Orleans, Louisiana"
i0139219,"1800 S LIBERTY ST, New Orleans, Louisiana"
i0140719,"225 DECATUR ST, New Orleans, Louisiana"
i0149919,"100 BOURBON ST, New Orleans, Louisiana"
i0149919,"100 BOURBON ST, New Orleans, Louisiana"
i0149919,"100 BOURBON ST, New Orleans, Louisiana"
i0149919,"100 BOURBON ST, New Orleans, Louisiana"
i0194619,"1817 S LIBERTY ST, New Orleans, Louisiana"
i0194619,"1817 S LIBERTY ST, New Orleans, Louisiana"
i0204119,"EARHART AV & S CARROLLTON AV, New Orleans, Louisiana"
i0204119,"EARHART AV & S CARROLLTON AV, New Orleans, Louisiana"
i0206819,"1242 PIETY ST, New Orleans, Louisiana"
i0224419,"620 DECATUR ST, New Orleans, Louisiana"
i0389919,"7100 SALEM DR, New Orleans, Louisiana"
i0389919,"7100 SALEM DR, New Orleans, Louisiana"
