nopd_item,type,typetext,priority,initialtype,initialtypetext,initialpriority,mapx,mapy,timecreate,timedispatch,timearrive,timeclosed,disposition,dispositiontext,selfinitiated,beat,block_address,zip,policedistrict,location,set,latitude,longitude
B2520722,30,HOMICIDE,2C,35D,SIMPLE BATTERY DOMESTIC,2C,3681536,529579,02/21/2022 08:01:22 PM,02/21/2022 08:08:33 PM,02/21/2022 08:12:49 PM,02/22/2022 02:30:40 AM,RTF,REPORT TO FOLLOW,N,8G04,003XX Magazine St,70130,8,POINT (-90.06802261 29.95015838),calls_for_service,,
B2521122,34S,AGGRAVATED BATTERY BY SHOOTING,2C,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3681536,529579,02/21/2022 08:09:32 PM,,,02/21/2022 08:11:45 PM,DUP,DUPLICATE,N,8G04,003XX Magazine St,70130,8,POINT (-90.06802261 29.95015838),calls_for_service,,
B2521322,37D,AGGRAVATED ASSAULT DOMESTIC,2C,34D,AGGRAVATED BATTERY DOMESTIC,2C,3688585,544870,02/21/2022 08:12:13 PM,02/21/2022 08:14:08 PM,02/21/2022 08:29:28 PM,02/22/2022 01:03:41 AM,RTF,REPORT TO FOLLOW,N,3Y04,032XX Peoples Ave,70122,3,POINT (-90.04522415 29.99198712),calls_for_service,,
B2534822,37,AGGRAVATED ASSAULT,2A,37,AGGRAVATED ASSAULT,2E,3687523,537813,02/21/2022 11:50:36 PM,02/21/2022 11:59:08 PM,02/22/2022 12:01:05 AM,02/22/2022 12:03:26 AM,GOA,GONE ON ARRIVAL,N,5C03,026XX N Robertson St,70117,5,POINT (-90.04882889 29.9726159),calls_for_service,,
C1033622,42,AGGRAVATED RAPE,1A,42,AGGRAVATED RAPE,2C,37369000,3513814,03/10/2022 06:40:54 AM,03/10/2022 11:29:17 AM,03/10/2022 11:32:47 AM,03/10/2022 12:07:10 PM,GOA,GONE ON ARRIVAL,N,8E05,006XX Barracks St,70116,8,POINT (0 0),calls_for_service,,
B2562622,37,AGGRAVATED ASSAULT,2E,103,DISTURBANCE (OTHER),1C,3684597,543940,02/22/2022 08:27:42 AM,,,02/22/2022 08:51:35 AM,GOA,GONE ON ARRIVAL,N,3Y01,030XX Elysian Fields Ave,70122,3,POINT (-90.0578534 29.98955382),calls_for_service,,
B2577422,64,ARMED ROBBERY,1A,64,ARMED ROBBERY,2C,3681867,531483,02/22/2022 11:06:12 AM,02/22/2022 03:27:46 PM,02/22/2022 03:27:56 PM,02/22/2022 03:48:57 PM,GOA,GONE ON ARRIVAL,N,8C02,003XX Royal St,70130,8,POINT (-90.06691051 29.95538535),calls_for_service,,
B2579222,37D,AGGRAVATED ASSAULT DOMESTIC,2C,34D,AGGRAVATED BATTERY DOMESTIC,2C,3732049,562194,02/22/2022 11:30:18 AM,02/22/2022 11:36:39 AM,02/22/2022 11:38:49 AM,02/22/2022 06:13:16 PM,RTF,REPORT TO FOLLOW,N,7L03,147XX Chef Menteur Hwy,70129,7,POINT (-89.90725148 30.03820564),calls_for_service,,
B2582722,37,AGGRAVATED ASSAULT,2E,37,AGGRAVATED ASSAULT,2E,3681340,536548,02/22/2022 11:59:49 AM,,,02/22/2022 12:04:22 PM,VOI,VOID,N,1A01,Esplanade Ave & N Claiborne Ave,70116,1,POINT (-90.06839956 29.96932619),calls_for_service,,
B2584722,38D,SIMPLE ASSAULT DOMESTIC,2D,79,VIOLATION OF PROTECTION ORDER,2E,3681923,551141,02/22/2022 12:19:11 PM,02/22/2022 12:21:16 PM,02/22/2022 12:28:28 PM,02/22/2022 07:05:55 PM,RTF,REPORT TO FOLLOW,N,3Q02,050XX Wilton Dr,70122,3,POINT (-90.06604772 30.00943622),calls_for_service,,
