latitude,longitude
29.94433909,-90.07739632
30.02937693,-89.99752507
30.03948822,-89.91535076
29.94642875,-90.13206217
29.97075362,-90.09522631
29.9766865,-90.09290988
29.96737624,-90.11600481
29.97080728,-90.06584321
30.00411603,-90.10268056
29.93143195,-90.04021884
29.96940807,-90.06477841
29.99610748,-90.11374275
30.00576839,-90.11884765
29.90513499,-89.99389801
29.92407285,-90.01874937
29.96819519,-90.10147165
29.94728678,-90.07148313
30.00825062,-90.10331991
29.95807406,-90.07411276
29.93457167,-90.04051205
29.97473735,-90.0916475
29.9805424,-90.11226191
29.92010512,-90.01386586
29.99782717,-90.11356357
29.99963417,-90.11333718
29.96352053,-90.08956026
29.90928228,-89.99338336
30.03021385,-89.98381199
29.96734457,-90.09613136
29.99673707,-90.10129238
29.95935566,-90.06991538
29.9725914,-90.06545877
30.03720467,-89.93032003
29.95518391,-90.10107008
29.94163796,-90.07256007
29.97552206,-90.06109118
30.00427497,-90.12164207
29.96226201,-90.08227666
30.00448696,-90.10681174
29.93435339,-90.06960906
30.00001411,-90.11329261
29.91750131,-89.98323637
29.92152639,-90.01369888
29.96609209,-90.09430709
30.00001411,-90.11329261
29.93990957,-90.1301264
29.95014038,-90.11073995
29.98068538,-90.09779263
30.02248249,-89.97734682
30.01249335,-90.12126212
30.00920785,-90.0208144
29.95538535,-90.06691051
30.00261038,-90.11380762
29.97187394,-90.03535858
29.93376947,-90.00728985
30.00235251,-90.102884
29.92528714,-90.02137362
29.97619266,-90.09897785
29.95104444,-90.08112589
29.96827791,-90.11108487
30.01022733,-90.10512028
30.00572817,-90.03268998
29.98970259,-90.10812238
29.94883784,-90.04691787
29.94818411,-90.1012365
29.97795034,-90.10172519
29.92000282,-90.0223077
30.03748091,-89.93248509
29.95750014,-90.06953643
29.94571824,-90.0760531
29.93439031,-90.08063779
30.00555645,-90.1172218
29.97526758,-90.11000248
29.97526758,-90.11000248
29.96725858,-90.08578453
30.00007849,-90.1139946
30.00516446,-90.0324535
29.95661845,-90.10452346
29.98904772,-90.1100576
29.92344951,-89.98409681
29.91811001,-89.99817487
29.91973935,-90.01140458
29.93065713,-90.02076111
30.00559371,-90.1157963
29.94412791,-90.09780226
30.00479925,-90.11034955
30.00653521,-90.10452877
29.95966765,-90.0330732
30.00457899,-90.10783795
29.9784706,-90.10862723
29.97062974,-90.03445086
29.96788125,-90.066087
29.96759439,-90.1034911
29.95824204,-90.0688721
29.92925567,-90.11880167
29.99970063,-90.05911274
29.95074975,-90.04504883
29.96209044,-90.05273817
30.03101554,-89.98476672
30.0494752,-89.95442989
29.96817693,-90.06511692
29.94070448,-90.09996605
30.0732017,-89.92551258
30.02088264,-90.081831
29.9268587,-90.1334098
29.93047466,-90.02006831
29.97565522,-90.03977058
29.94558041,-90.07584037
30.00540813,-90.07471359
29.9782012,-90.03267972
29.91391056,-89.99821831
