item_number,district,location,disposition,signal_type,signal_description,occurred_date_time,charge_code,charge_description,offender_number,offenderid,offenderstatus,offender_race,offender_gender,offender_age,victim_number,persontype,victim_race,victim_gender,victim_age,victim_fatal_status,hate_crime,report_type,year
B-06102-22,4,051XX Patterson Dr,CLOSED,79,VIOLATION OF PROTECTIVE ORDERS,2/5/2022 17:00,14 79,VIOLATIONS OF PROTECTIVE ORDERS,1.0,731435.0,ARRESTED,WHITE,FEMALE,45.0,1.0,VICTIM,WHITE,MALE,58.0,Non-fatal,,Incident Report,2022
B-05900-22,7,077XX Pebble Dr,OPEN,67,THEFT,2/3/2022 21:15,14 67,THEFT,1.0,731433.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,BLACK,FEMALE,46.0,Non-fatal,,Incident Report,2022
B-05935-22,5,020XX Saint Bernard Av,OPEN,21,MISCELLANEOUS INCIDENT,2/5/2022 13:50,,,,,,,,,1.0,REPORTING PERSON,BLACK,MALE,62.0,Non-fatal,,Incident Report,2022
A-07969-22,4,051XX Patterson Dr,CLOSED,79,VIOLATION OF PROTECTIVE ORDERS,1/7/2022 20:06,14 79,VIOLATIONS OF PROTECTIVE ORDERS,1.0,731434.0,ARRESTED,WHITE,FEMALE,45.0,1.0,VICTIM,WHITE,MALE,58.0,Non-fatal,,Supplemental Report,2022
B-06146-22,6,034XX S Liberty St,CLOSED,966,DRUG LAW VIOLATION,2/5/2022 17:47,40 967,PROHIBITED ACTS-- SCHEDULE II DRUGS,1.0,731436.0,ARRESTED,BLACK,MALE,63.0,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
B-06111-22,6,034XX S Liberty St,CLOSED,37D,AGGRAVATED ASSAULT (DOMESTIC),2/5/2022 17:45,14 37,AGG. ASSAULT,1.0,731438.0,ARRESTED,BLACK,MALE,63.0,1.0,VICTIM,BLACK,FEMALE,54.0,Non-fatal,,Incident Report,2022
A-30572-22,4,051XX Patterson Dr,CLOSED,79,VIOLATION OF PROTECTIVE ORDERS,1/27/2022 17:11,14 79,VIOLATIONS OF PROTECTIVE ORDERS,1.0,731440.0,ARRESTED,WHITE,FEMALE,45.0,1.0,VICTIM,WHITE,MALE,58.0,Non-fatal,,Supplemental Report,2022
B-05034-22,4,051XX Patterson Rd,CLOSED,79,VIOLATION OF PROTECTIVE ORDERS,2/4/2022 20:15,14 79,VIOLATIONS OF PROTECTIVE ORDERS,1.0,731442.0,ARRESTED,WHITE,FEMALE,45.0,1.0,VICTIM,WHITE,MALE,58.0,Non-fatal,,Supplemental Report,2022
A-28964-22,6,021XX Clara St,OPEN,35,SIMPLE BATTERY,1/26/2022 16:13,54 96,BATTERY,1.0,732036.0,,BLACK,MALE,,1.0,VICTIM,BLACK,MALE,58.0,Non-fatal,,Incident Report,2022
B-06056-22,3,035XX Fairmont Dr,CLOSED,95G,ILLEGAL CARRYING OF A GUN,2/5/2022 16:04,14 95.10,POSSESSION OF A FIREARM OR CARRYING OF A CONCEALED WEAPON BY A PERSON CONVICTED OF DOMESTIC ABUSE BA,1.0,731454.0,ARRESTED,BLACK,MALE,26.0,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
B-06056-22,3,035XX Fairmont Dr,CLOSED,95G,ILLEGAL CARRYING OF A GUN,2/5/2022 16:04,14 95,ILLEGAL CARRYING OF WEAPON,1.0,731454.0,ARRESTED,BLACK,MALE,26.0,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
B-06056-22,3,035XX Fairmont Dr,CLOSED,95G,ILLEGAL CARRYING OF A GUN,2/5/2022 16:04,14 95.1,POSSESSION OF FIREARM BY FELON,1.0,731454.0,ARRESTED,BLACK,MALE,26.0,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
B-06056-22,3,035XX Fairmont Dr,CLOSED,95G,ILLEGAL CARRYING OF A GUN,2/5/2022 16:04,14 95.E,ILLEGAL CARRYING OF A WEAPON WHILE IN POSSESSION OF NARCOTICS,1.0,731454.0,ARRESTED,BLACK,MALE,26.0,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
B-06056-22,3,035XX Fairmont Dr,CLOSED,95G,ILLEGAL CARRYING OF A GUN,2/5/2022 16:04,14 108,RESISTING AN OFFICER,1.0,731454.0,ARRESTED,BLACK,MALE,26.0,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
B-06056-22,3,035XX Fairmont Dr,CLOSED,95G,ILLEGAL CARRYING OF A GUN,2/5/2022 16:04,40 966,PROHIBITED ACTS--SCHEDULE I DRUGS,1.0,731454.0,ARRESTED,BLACK,MALE,26.0,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
B-06056-22,3,035XX Fairmont Dr,CLOSED,95G,ILLEGAL CARRYING OF A GUN,2/5/2022 16:04,40 966,PROHIBITED ACTS--SCHEDULE I DRUGS,1.0,731454.0,ARRESTED,BLACK,MALE,26.0,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
B-05614-22,5,024XX Franklin Av,OPEN,56,SIMPLE CRIMINAL DAMAGE,2/4/2022 22:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,1.0,731445.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,BLACK,MALE,35.0,Non-fatal,,Incident Report,2022
B-06142-22,6,035XX 4th St,OPEN,29,DEATH,2/5/2022 17:43,,,,,,,,,1.0,VICTIM,BLACK,MALE,71.0,Fatal,,Incident Report,2022
B-06142-22,6,035XX 4th St,OPEN,29,DEATH,2/5/2022 17:43,,,,,,,,,2.0,INTERVIEW,BLACK,MALE,35.0,Non-fatal,,Incident Report,2022
B-06142-22,6,035XX 4th St,OPEN,29,DEATH,2/5/2022 17:43,,,,,,,,,3.0,INTERVIEW,BLACK,MALE,58.0,Non-fatal,,Incident Report,2022
B-06123-22,3,035XX Fairmont Dr,CLOSED,17F,FUGITIVE ATTACHMENT,2/5/2022 16:41,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,1.0,731444.0,ARRESTED,BLACK,FEMALE,22.0,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
B-05858-22,2,Lowerline St & Burthe St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2/5/2022 11:30,14 62,SIMPLE BURGLARY,1.0,731443.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,WHITE,MALE,22.0,Non-fatal,,Incident Report,2022
A-03349-22,4,051XX Patterson Dr,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),1/3/2022 22:11,14 35.3,DOMESTIC ABUSE BATTERY - SIMPLE,1.0,731446.0,ARRESTED,WHITE,FEMALE,45.0,1.0,VICTIM,WHITE,MALE,58.0,Non-fatal,,Supplemental Report,2022
A-03349-22,4,051XX Patterson Dr,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),1/3/2022 22:11,14 79,VIOLATIONS OF PROTECTIVE ORDERS,1.0,731446.0,ARRESTED,WHITE,FEMALE,45.0,1.0,VICTIM,WHITE,MALE,58.0,Non-fatal,,Supplemental Report,2022
B-06140-22,2,086XX Leake Av,OPEN,103D,DISTURBANCE (DOMESTIC),2/5/2022 5:15,,,,,,,,,1.0,REPORTING PERSON,WHITE,MALE,39.0,Non-fatal,,Incident Report,2022
B-06140-22,2,086XX Leake Av,OPEN,103D,DISTURBANCE (DOMESTIC),2/5/2022 5:15,,,,,,,,,2.0,INTERVIEW,WHITE,FEMALE,38.0,Non-fatal,,Incident Report,2022
B-04239-22,5,032XX Oliver White Av,OPEN,67A,AUTO THEFT,2/4/2022 5:45,,,,,,,,,1.0,VICTIM,BLACK,FEMALE,44.0,Non-fatal,,Supplemental Report,2022
B-04239-22,5,032XX Oliver White Av,OPEN,67A,AUTO THEFT,2/4/2022 5:45,,,,,,,,,2.0,INTERVIEW,BLACK,FEMALE,38.0,Non-fatal,,Supplemental Report,2022
B-06138-22,1,N Robertson St & Kerlerec St,OPEN,67,THEFT,2/5/2022 9:00,14 67,THEFT,1.0,731813.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,UNKNOWN,MALE,,Non-fatal,,Incident Report,2022
B-06138-22,1,N Robertson St & Kerlerec St,OPEN,67,THEFT,2/5/2022 9:00,14 67.11,CREDIT CARD FRAUD ,1.0,731813.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,UNKNOWN,MALE,,Non-fatal,,Incident Report,2022
B-06107-22,1,037XX Orleans Av #5412,OPEN,103D,DISTURBANCE (DOMESTIC),2/5/2022 17:05,,,,,,,,,1.0,REPORTING PERSON,BLACK,MALE,28.0,Non-fatal,,Incident Report,2022
B-06107-22,1,037XX Orleans Av #5412,OPEN,103D,DISTURBANCE (DOMESTIC),2/5/2022 17:05,,,,,,,,,2.0,REPORTING PERSON,BLACK,FEMALE,27.0,Non-fatal,,Incident Report,2022
B-05327-22,8,005XX Canal St,OPEN,67F,THEFT BY FRAUD,2/5/2022 1:20,14 67,THEFT,1.0,731450.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,WHITE,MALE,31.0,Non-fatal,,Incident Report,2022
B-05327-22,8,005XX Canal St,OPEN,67F,THEFT BY FRAUD,2/5/2022 1:20,,,1.0,731450.0,,UNKNOWN,UNKNOWN,,2.0,INTERVIEW,WHITE,FEMALE,,Non-fatal,,Incident Report,2022
B-05863-22,6,017XX 4th St,OPEN,67,THEFT,2/5/2022 3:00,14 67,THEFT,1.0,731451.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,BLACK,FEMALE,60.0,Non-fatal,,Incident Report,2022
B-05863-22,6,017XX 4th St,OPEN,67,THEFT,2/5/2022 3:00,14 67,THEFT,1.0,731451.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,BLACK,FEMALE,60.0,Non-fatal,,Incident Report,2022
B-05689-22,2,074XX Burthe St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2/5/2022 10:00,14 62,SIMPLE BURGLARY,1.0,731453.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,WHITE,MALE,22.0,Non-fatal,,Incident Report,2022
B-05746-22,6,X Drexel Dr,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2/5/2022 20:13,14 62,SIMPLE BURGLARY,1.0,731467.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,BLACK,FEMALE,19.0,Non-fatal,,Incident Report,2022
B-06143-22,3,052XX Spain St,OPEN,103D,DISTURBANCE (DOMESTIC),2/4/2022 17:30,,,,,,,,,1.0,INTERVIEW,UNKNOWN,FEMALE,40.0,Non-fatal,,Incident Report,2022
B-06230-22,4,031XX Parc Fontaine,OPEN,103,DISTURBANCE,2/5/2022 17:00,,,,,,,,,1.0,REPORTING PERSON,BLACK,MALE,52.0,Non-fatal,,Incident Report,2022
B-05859-22,6,014XX General Taylor St,OPEN,21M,MISSING ADULT,2/5/2022 12:30,,,,,,,,,2.0,REPORTING PERSON,,,,Non-fatal,,Incident Report,2022
B-05859-22,6,014XX General Taylor St,OPEN,21M,MISSING ADULT,2/5/2022 12:30,,,,,,,,,1.0,MISSING PERSON,BLACK,MALE,31.0,Non-fatal,,Incident Report,2022
B-06207-22,6,004XX Toledano St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2/5/2022 18:45,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,1.0,731456.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,BLACK,MALE,34.0,Non-fatal,,Incident Report,2022
B-06207-22,6,004XX Toledano St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2/5/2022 18:45,14 62,SIMPLE BURGLARY,1.0,731456.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,BLACK,MALE,34.0,Non-fatal,,Incident Report,2022
B-05620-22,1,Gravier St & S Dorgenois St,OPEN,56,SIMPLE CRIMINAL DAMAGE,2/4/2022 7:10,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,1.0,731455.0,,UNKNOWN,UNKNOWN,21.0,1.0,VICTIM,BLACK,MALE,55.0,Non-fatal,,Incident Report,2022
B-06177-22,7,072XX Chef Menteur Hw #I27,CLOSED,65,SIMPLE ROBBERY,2/5/2022 15:00,14 65,SIMPLE ROBBERY,1.0,731457.0,ARRESTED,BLACK,MALE,50.0,1.0,VICTIM,BLACK,FEMALE,62.0,Non-fatal,,Incident Report,2022
B-06177-22,7,072XX Chef Menteur Hw #I27,CLOSED,65,SIMPLE ROBBERY,2/5/2022 15:00,14 35.3,DOMESTIC ABUSE BATTERY - SIMPLE,1.0,731457.0,ARRESTED,BLACK,MALE,50.0,1.0,VICTIM,BLACK,FEMALE,62.0,Non-fatal,,Incident Report,2022
B-06271-22,3,035XX Fairmont Dr,CLOSED,21,MISCELLANEOUS INCIDENT,2/5/2022 16:05,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,1.0,731459.0,ARRESTED,BLACK,MALE,26.0,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
B-06151-22,1,015XX Canal St,OPEN,56,SIMPLE CRIMINAL DAMAGE,2/5/2022 17:50,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,1.0,731458.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,WHITE,FEMALE,40.0,Non-fatal,,Incident Report,2022
B-06235-22,6,035XX Washington Av,CLOSED,67,THEFT,2/5/2022 17:00,54 186,THEFT,1.0,731461.0,ARRESTED,BLACK,MALE,55.0,1.0,VICTIM,BLACK,FEMALE,37.0,Non-fatal,,Incident Report,2022
B-05730-22,8,005XX Canal St,OPEN,21,MISCELLANEOUS INCIDENT,1/31/2022 17:00,,,,,,,,,1.0,REPORTING PERSON,BLACK,MALE,52.0,Non-fatal,,Incident Report,2022
B-06180-22,3,Peoples Av & Athis St,OPEN,67A,AUTO THEFT,2/5/2022 3:00,14 67.26,THEFT OF A MOTOR VEHICLE,1.0,731462.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,BLACK,MALE,37.0,Non-fatal,,Incident Report,2022
B-06156-22,6,012XX Freret St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2/5/2022 19:00,14 62,SIMPLE BURGLARY,1.0,731469.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,BLACK,MALE,34.0,Non-fatal,,Incident Report,2022
B-06282-22,7,045XX Lonely Oak Dr,OPEN,29,DEATH,2/5/2022 20:18,,,,,,,,,1.0,VICTIM,BLACK,MALE,75.0,Fatal,,Incident Report,2022
B-06282-22,7,045XX Lonely Oak Dr,OPEN,29,DEATH,2/5/2022 20:18,,,,,,,,,2.0,REPORTING PERSON,BLACK,MALE,41.0,Non-fatal,,Incident Report,2022
B-06212-22,6,004XX 3rd St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2/5/2022 18:00,14 62,SIMPLE BURGLARY,1.0,731464.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,WHITE,MALE,31.0,Non-fatal,,Incident Report,2022
B-05328-22,5,056XX N Roman St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2/5/2022 0:30,,,1.0,731465.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,BLACK,MALE,39.0,Non-fatal,,Supplemental Report,2022
B-05328-22,5,056XX N Roman St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2/5/2022 0:30,14 62,SIMPLE BURGLARY,1.0,731465.0,,UNKNOWN,UNKNOWN,,2.0,VICTIM,BLACK,FEMALE,,Non-fatal,,Supplemental Report,2022
B-06243-22,5,019XX Spain St,OPEN,29,DEATH,2/5/2022 19:23,,,,,,,,,1.0,VICTIM,BLACK,FEMALE,57.0,Fatal,,Incident Report,2022
B-06243-22,5,019XX Spain St,OPEN,29,DEATH,2/5/2022 19:23,,,,,,,,,2.0,REPORTING PERSON,BLACK,MALE,64.0,Non-fatal,,Incident Report,2022
B-06125-22,4,001XX Westpark Ct,OPEN,67A,AUTO THEFT,2/5/2022 6:30,14 67.26,THEFT OF A MOTOR VEHICLE,1.0,731466.0,,UNKNOWN,UNKNOWN,21.0,1.0,VICTIM,UNKNOWN,MALE,30.0,Non-fatal,,Incident Report,2022
B-06299-22,2,S Robertson St & Marengo St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2/5/2022 17:30,14 62,SIMPLE BURGLARY,1.0,731468.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,BLACK,MALE,39.0,Non-fatal,,Incident Report,2022
B-06242-22,7,061XX Warfield St,OPEN,27-64J,ATTEMPTED ARMED CARJACKING,2/5/2022 19:41,14 (27) 64.3,ATTEMPT ARMED ROBBERY WITH A FIREARM,1.0,731470.0,,BLACK,MALE,,1.0,VICTIM,WHITE,MALE,41.0,Non-fatal,,Incident Report,2022
B-06242-22,7,061XX Warfield St,OPEN,27-64J,ATTEMPTED ARMED CARJACKING,2/5/2022 19:41,,,1.0,731470.0,,BLACK,MALE,,2.0,VICTIM,WHITE,FEMALE,35.0,Non-fatal,,Incident Report,2022
B-06206-22,8,007XX S Peters St,OPEN,21,MISCELLANEOUS INCIDENT,2/5/2022 2:15,,,,,,,,,1.0,REPORTING PERSON,WHITE,MALE,32.0,Non-fatal,,Incident Report,2022
B-06206-22,8,007XX S Peters St,OPEN,21,MISCELLANEOUS INCIDENT,2/5/2022 2:15,,,,,,,,,2.0,INTERVIEW,WHITE,MALE,23.0,Non-fatal,,Incident Report,2022
B-05956-22,8,003XX O'Keefe Av,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2/5/2022 14:11,14 62,SIMPLE BURGLARY,1.0,731471.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,BLACK,MALE,42.0,Non-fatal,,Incident Report,2022
B-06276-22,5,018XX Lamanche St,OPEN,103D,DISTURBANCE (DOMESTIC),2/5/2022 20:03,,,,,,,,,1.0,VICTIM,BLACK,FEMALE,59.0,Non-fatal,,Incident Report,2022
B-06276-22,5,018XX Lamanche St,OPEN,103D,DISTURBANCE (DOMESTIC),2/5/2022 20:03,,,,,,,,,2.0,WITNESS,BLACK,FEMALE,28.0,Non-fatal,,Incident Report,2022
B-06276-22,5,018XX Lamanche St,OPEN,103D,DISTURBANCE (DOMESTIC),2/5/2022 20:03,,,,,,,,,3.0,NON-VICTIM,UNKNOWN,UNKNOWN,,Non-fatal,,Incident Report,2022
B-06331-22,1,005XX N Broad St,OPEN,21,MISCELLANEOUS INCIDENT,2/5/2022 21:09,,,,,,,,,1.0,VICTIM,UNKNOWN,UNKNOWN,,Non-fatal,,Incident Report,2022
B-06331-22,1,005XX N Broad St,OPEN,21,MISCELLANEOUS INCIDENT,2/5/2022 21:09,,,,,,,,,2.0,REPORTING PERSON,BLACK,MALE,,Non-fatal,,Incident Report,2022
B-05575-22,5,086XX Spruce St,OPEN,67A,AUTO THEFT,2/5/2022 4:00,14 69,ILLEGAL POSSESSION OF STOLEN THINGS,1.0,731473.0,,UNKNOWN,MALE,,1.0,VICTIM,BLACK,MALE,36.0,Non-fatal,,Supplemental Report,2022
B-06351-22,3,035XX Fairmont,CLOSED,21,MISCELLANEOUS INCIDENT,2/5/2022 16:32,PROBATION AND PAROLE,VIOLATION#,1.0,731475.0,ARRESTED,BLACK,MALE,26.0,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
B-06316-22,6,014XX Annunciation St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2/5/2022 18:30,14 62,SIMPLE BURGLARY,1.0,731474.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,WHITE,MALE,27.0,Non-fatal,,Incident Report,2022
B-06318-22,2,063XX S Tonti St,OPEN,18A,ABANDONED VEHICLE,2/5/2022 20:59,,,,,,,,,1.0,REPORTING PERSON,WHITE,FEMALE,29.0,Non-fatal,,Incident Report,2022
B-06277-22,1,Canal & Basin,CLOSED,17F,FUGITIVE ATTACHMENT,2/5/2022 19:50,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,1.0,731476.0,ARRESTED,BLACK,MALE,50.0,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
B-06313-22,1,012XX N Claiborne Av,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2/5/2022 20:54,14 62,SIMPLE BURGLARY,1.0,731477.0,,BLACK,MALE,,1.0,VICTIM,BLACK,MALE,40.0,Non-fatal,,Incident Report,2022
B-06341-22,6,027XX S Claiborne Al,CLOSED,56,SIMPLE CRIMINAL DAMAGE,2/5/2022 21:21,54 151 (D),CRIMINAL DAMAGE/REMOVING PROPERTY,1.0,731479.0,ARRESTED,BLACK,FEMALE,45.0,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
B-06028-22,8,006XX Bourbon St,OPEN,67,THEFT,2/5/2022 0:30,14 67,THEFT,1.0,731478.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,WHITE,FEMALE,21.0,Non-fatal,,Incident Report,2022
B-06325-22,6,Louisiana Av & Saint Charles St,OPEN,37,AGGRAVATED ASSAULT,2/5/2022 21:00,14 37.4,AGGRAVATED ASSAULT WITH A FIREARM,2.0,731480.0,,WHITE,MALE,,1.0,VICTIM,WHITE,MALE,46.0,Non-fatal,,Incident Report,2022
B-04973-22,6,019XX Tchoupitoulas St,OPEN,38,SIMPLE ASSAULT,2/4/2022 18:55,54 97,ASSAULT,1.0,731481.0,,BLACK,FEMALE,28.0,1.0,VICTIM,BLACK,FEMALE,49.0,Non-fatal,,Incident Report,2022
B-04973-22,6,019XX Tchoupitoulas St,OPEN,38,SIMPLE ASSAULT,2/4/2022 18:55,54 403,DISTURBING THE PEACE,1.0,731481.0,,BLACK,FEMALE,28.0,1.0,VICTIM,BLACK,FEMALE,49.0,Non-fatal,,Incident Report,2022
B-06255-22,1,027XX Tulane Av,CLOSED,21,MISCELLANEOUS INCIDENT,2/5/2022 17:15,COURT CAPIAS,CDC WARRANT#,1.0,731482.0,ARRESTED,BLACK,MALE,26.0,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
B-06256-22,1,027XX Tulane Av,CLOSED,21,MISCELLANEOUS INCIDENT,2/5/2022 17:15,COURT CAPIAS,CDC WARRANT#,1.0,731483.0,ARRESTED,BLACK,MALE,26.0,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
B-06388-22,4,006XX Bouny St,CLOSED,966,DRUG LAW VIOLATION,2/5/2022 21:29,40 967,PROHIBITED ACTS-- SCHEDULE II DRUGS,1.0,731487.0,ARRESTED,UNKNOWN,MALE,30.0,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
B-06473-22,7,W Laverne St & N Wales St,CLOSED,21,MISCELLANEOUS INCIDENT,1/27/2022 12:01,,,,,,,,,1.0,INTERVIEW,BLACK,FEMALE,46.0,Non-fatal,,Incident Report,2022
B-06275-22,2,030XX S Carrollton Av,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2/5/2022 18:15,14 62,SIMPLE BURGLARY,1.0,731489.0,,BLACK,MALE,,1.0,VICTIM,WHITE,FEMALE,26.0,Non-fatal,,Incident Report,2022
B-06275-22,2,030XX S Carrollton Av,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2/5/2022 18:15,,,1.0,731489.0,,BLACK,MALE,,2.0,VICTIM,WHITE,FEMALE,32.0,Non-fatal,,Incident Report,2022
B-06275-22,2,030XX S Carrollton Av,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2/5/2022 18:15,,,1.0,731489.0,,BLACK,MALE,,3.0,VICTIM,WHITE,FEMALE,26.0,Non-fatal,,Incident Report,2022
B-06275-22,2,030XX S Carrollton Av,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2/5/2022 18:15,,,1.0,731489.0,,BLACK,MALE,,4.0,VICTIM,WHITE,MALE,26.0,Non-fatal,,Incident Report,2022
B-06275-22,2,030XX S Carrollton Av,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2/5/2022 18:15,,,2.0,731490.0,,BLACK,MALE,,1.0,VICTIM,WHITE,FEMALE,26.0,Non-fatal,,Incident Report,2022
B-06275-22,2,030XX S Carrollton Av,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2/5/2022 18:15,14 62,SIMPLE BURGLARY,2.0,731490.0,,BLACK,MALE,,2.0,VICTIM,WHITE,FEMALE,32.0,Non-fatal,,Incident Report,2022
B-06275-22,2,030XX S Carrollton Av,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2/5/2022 18:15,,,2.0,731490.0,,BLACK,MALE,,3.0,VICTIM,WHITE,FEMALE,26.0,Non-fatal,,Incident Report,2022
B-06275-22,2,030XX S Carrollton Av,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2/5/2022 18:15,,,2.0,731490.0,,BLACK,MALE,,4.0,VICTIM,WHITE,MALE,26.0,Non-fatal,,Incident Report,2022
B-06275-22,2,030XX S Carrollton Av,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2/5/2022 18:15,,,3.0,731508.0,,BLACK,MALE,,1.0,VICTIM,WHITE,FEMALE,26.0,Non-fatal,,Incident Report,2022
B-06275-22,2,030XX S Carrollton Av,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2/5/2022 18:15,,,3.0,731508.0,,BLACK,MALE,,2.0,VICTIM,WHITE,FEMALE,32.0,Non-fatal,,Incident Report,2022
B-06275-22,2,030XX S Carrollton Av,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2/5/2022 18:15,14 62,SIMPLE BURGLARY,3.0,731508.0,,BLACK,MALE,,3.0,VICTIM,WHITE,FEMALE,26.0,Non-fatal,,Incident Report,2022
B-06275-22,2,030XX S Carrollton Av,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2/5/2022 18:15,,,3.0,731508.0,,BLACK,MALE,,4.0,VICTIM,WHITE,MALE,26.0,Non-fatal,,Incident Report,2022
B-06275-22,2,030XX S Carrollton Av,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2/5/2022 18:15,,,4.0,731509.0,,BLACK,MALE,,1.0,VICTIM,WHITE,FEMALE,26.0,Non-fatal,,Incident Report,2022
B-06275-22,2,030XX S Carrollton Av,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2/5/2022 18:15,,,4.0,731509.0,,BLACK,MALE,,2.0,VICTIM,WHITE,FEMALE,32.0,Non-fatal,,Incident Report,2022
B-06275-22,2,030XX S Carrollton Av,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2/5/2022 18:15,,,4.0,731509.0,,BLACK,MALE,,3.0,VICTIM,WHITE,FEMALE,26.0,Non-fatal,,Incident Report,2022
B-06275-22,2,030XX S Carrollton Av,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2/5/2022 18:15,14 62,SIMPLE BURGLARY,4.0,731509.0,,BLACK,MALE,,4.0,VICTIM,WHITE,MALE,26.0,Non-fatal,,Incident Report,2022
B-05878-22,7,Exit 002XX E I-10 Hw,OPEN,37,AGGRAVATED ASSAULT,2/5/2022 16:30,14 37.4,AGGRAVATED ASSAULT WITH A FIREARM,1.0,731493.0,,BLACK,FEMALE,28.0,1.0,VICTIM,BLACK,FEMALE,30.0,Non-fatal,,Incident Report,2022
B-06360-22,7,052XX Toulon St,OPEN,67F,THEFT BY FRAUD,2/6/2022 0:03,14 67.16,IDENTITY THEFT,1.0,731491.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,ASIAN,FEMALE,62.0,Non-fatal,,Incident Report,2022
B-06349-22,5,023XX Saint Claude Av,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2/5/2022 21:00,,,1.0,732248.0,,UNKNOWN,UNKNOWN,,4.0,VICTIM,WHITE,MALE,,Non-fatal,,Incident Report,2022
B-06349-22,5,023XX Saint Claude Av,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2/5/2022 21:00,14 62,SIMPLE BURGLARY,1.0,732248.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,WHITE,FEMALE,40.0,Non-fatal,,Incident Report,2022
