item_number,district,location,disposition,signal_type,signal_description,occurred_date_time,charge_code,charge_description,offender_number,offenderid,offenderstatus,offender_race,offender_gender,offender_age,victim_number,persontype,victim_race,victim_gender,victim_age,victim_fatal_status,hate_crime,report_type,year
A-23929-22,8,001XX Roosevelt Wy,OPEN,29U,UNCLASSIFIED DEATH,1/22/2022 6:52,,,,,,,,,1.0,VICTIM,BLACK,MALE,,Fatal,,Incident Report,2022
A-20838-22,7,070XX Bullard Av,OPEN,56,SIMPLE CRIMINAL DAMAGE,1/19/2022 12:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,1.0,729247.0,,BLACK,FEMALE,,1.0,VICTIM,UNKNOWN,MALE,20.0,Non-fatal,,Incident Report,2022
A-23916-22,6,Oretha Castle Haley St & Calliope St,OPEN,65,SIMPLE ROBBERY,1/22/2022 5:00,14 65,SIMPLE ROBBERY,1.0,729249.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,WHITE,FEMALE,37.0,Non-fatal,,Incident Report,2022
A-23916-22,6,Oretha Castle Haley St & Calliope St,OPEN,65,SIMPLE ROBBERY,1/22/2022 5:00,,,1.0,729249.0,,UNKNOWN,UNKNOWN,,2.0,REPORTING PERSON,WHITE,FEMALE,,Non-fatal,,Incident Report,2022
A-23916-22,6,Oretha Castle Haley St & Calliope St,OPEN,65,SIMPLE ROBBERY,1/22/2022 5:00,,,1.0,729249.0,,UNKNOWN,UNKNOWN,,3.0,INTERVIEW,BLACK,MALE,51.0,Non-fatal,,Incident Report,2022
A-22917-22,5,025XX N Rampart St,OPEN,21,MISCELLANEOUS INCIDENT,1/21/2022 10:29,,,,,,,,,1.0,REPORTING PERSON,WHITE,MALE,,Non-fatal,,Incident Report,2022
A-23805-22,8,011XX Gravier,OPEN,67,THEFT,1/21/2022 20:30,14 67,THEFT,1.0,729252.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,WHITE,MALE,32.0,Non-fatal,,Incident Report,2022
A-23702-22,1,035XX Tulane Av,OPEN,67C,THEFT FROM EXTERIOR OF VEHICLE,1/21/2022 21:00,14 67,THEFT,1.0,729251.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,WHITE,MALE,,Non-fatal,,Incident Report,2022
A-23957-22,2,027XX Marengo St,OPEN,67,THEFT,1/22/2022 7:46,54 186,THEFT,1.0,729253.0,,BLACK,MALE,,1.0,VICTIM,WHITE,MALE,39.0,Non-fatal,,Incident Report,2022
A-21849-22,5,006XX Gallier St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),1/20/2022 10:07,14 62,SIMPLE BURGLARY,1.0,729255.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,WHITE,MALE,59.0,Non-fatal,,Incident Report,2022
A-21849-22,5,006XX Gallier St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),1/20/2022 10:07,14 62,SIMPLE BURGLARY,1.0,729255.0,,UNKNOWN,UNKNOWN,,2.0,VICTIM,BLACK,MALE,54.0,Non-fatal,,Incident Report,2022
A-23210-22,7,079XX Sandpiper Dr,OPEN,103,DISTURBANCE,1/21/2022 14:00,,,,,,,,,1.0,REPORTING PERSON,BLACK,FEMALE,38.0,Non-fatal,,Incident Report,2022
A-23210-22,7,079XX Sandpiper Dr,OPEN,103,DISTURBANCE,1/21/2022 14:00,,,,,,,,,2.0,INTERVIEW,BLACK,MALE,39.0,Non-fatal,,Incident Report,2022
A-20723-22,7,076XX Alabama St,OPEN,103D,DISTURBANCE (DOMESTIC),1/18/2022 12:00,,,,,,,,,1.0,REPORTING PERSON,BLACK,MALE,65.0,Non-fatal,,Incident Report,2022
A-23960-22,7,062XX Chef Menteur Hw,OPEN,67A,AUTO THEFT,1/21/2022 0:30,14 67.26,THEFT OF A MOTOR VEHICLE,1.0,729256.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
A-23960-22,7,062XX Chef Menteur Hw,OPEN,67A,AUTO THEFT,1/21/2022 0:30,14 (27) 67.26,ATTEMPT THEFT OF A MOTOR VEHICLE,1.0,729256.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
A-23960-22,7,062XX Chef Menteur Hw,OPEN,67A,AUTO THEFT,1/21/2022 0:30,14 (27) 67.26,ATTEMPT THEFT OF A MOTOR VEHICLE,1.0,729256.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
A-23960-22,7,062XX Chef Menteur Hw,OPEN,67A,AUTO THEFT,1/21/2022 0:30,14 (27) 67.26,ATTEMPT THEFT OF A MOTOR VEHICLE,1.0,729256.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
A-23960-22,7,062XX Chef Menteur Hw,OPEN,67A,AUTO THEFT,1/21/2022 0:30,14 (27) 67.26,ATTEMPT THEFT OF A MOTOR VEHICLE,1.0,729256.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
A-23960-22,7,062XX Chef Menteur Hw,OPEN,67A,AUTO THEFT,1/21/2022 0:30,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,1.0,729256.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
A-23960-22,7,062XX Chef Menteur Hw,OPEN,67A,AUTO THEFT,1/21/2022 0:30,,,1.0,729256.0,,UNKNOWN,UNKNOWN,,2.0,REPORTING PERSON,BLACK,MALE,40.0,Non-fatal,,Incident Report,2022
A-23942-22,5,022XX N Johnson St,OPEN,103D,DISTURBANCE (DOMESTIC),1/22/2022 7:49,,,,,,,,,1.0,REPORTING PERSON,UNKNOWN,FEMALE,,Non-fatal,,Incident Report,2022
A-23980-22,4,045XX Macarthur Dr #62,OPEN,103D,DISTURBANCE (DOMESTIC),1/22/2022 8:25,,,,,,,,,1.0,VICTIM,WHITE,FEMALE,36.0,Non-fatal,,Incident Report,2022
A-23978-22,5,025XX N Prieur St,OPEN,103D,DISTURBANCE (DOMESTIC),1/22/2022 8:36,,,,,,,,,,,,,,Non-fatal,,Incident Report,2022
A-23964-22,1,018XX Columbus St,OPEN,67F,THEFT BY FRAUD,1/21/2022 6:00,14 67.11,CREDIT CARD FRAUD ,1.0,729261.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,WHITE,FEMALE,29.0,Non-fatal,,Incident Report,2022
A-23816-22,8,005XX Frenchmen St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),1/22/2022 1:30,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,1.0,729257.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,BLACK,FEMALE,27.0,Non-fatal,,Incident Report,2022
A-23816-22,8,005XX Frenchmen St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),1/22/2022 1:30,14 62,SIMPLE BURGLARY,1.0,729257.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,BLACK,FEMALE,27.0,Non-fatal,,Incident Report,2022
A-24005-22,5,035XX Burgundy St,OPEN,56,SIMPLE CRIMINAL DAMAGE,1/22/2022 8:00,,,1.0,729259.0,,UNKNOWN,UNKNOWN,,2.0,REPORTING PERSON,WHITE,MALE,76.0,Non-fatal,,Incident Report,2022
