latitude,longitude,set
29.93083122,-90.0268985,rtcc
29.99960798,-90.05942805,rtcc
29.94884378,-90.11521468,rtcc
29.92657122,-90.10219766,rtcc
29.97142935,-90.11350645,rtcc
29.95094905,-90.11612356,rtcc
29.97209424,-90.11420711,rtcc
29.99227266,-90.03500597,rtcc
29.99181959,-90.03410127,rtcc
29.9734567,-90.11426446,rtcc
29.98280304,-90.108768,rtcc
29.92866216,-90.02570324,rtcc
29.95382777,-90.1181831,rtcc
30.00133304,-90.05605086,rtcc
29.99368185,-90.03534039,rtcc
29.94864483,-90.1179418,rtcc
29.96585194,-90.11785922,rtcc
29.99934126,-90.08612442,rtcc
29.95933425,-90.01344005,rtcc
29.94085885,-90.11663888,rtcc
29.96785965,-90.11872693,rtcc
29.99331258,-90.10045904,rtcc
29.92076531,-90.10130967,rtcc
29.95431089,-90.01148152,rtcc
29.99659693,-90.0355423,rtcc
29.95990509,-90.01136585,rtcc
29.96436767,-90.01188946,rtcc
29.93352754,-90.01820787,rtcc
29.96212724,-90.01135307,rtcc
29.93047666,-90.02006483,rtcc
29.96427735,-90.12105848,rtcc
29.94542651,-90.12047687,rtcc
29.94267946,-90.11969663,rtcc
29.96711964,-90.12104751,rtcc
29.9776675,-90.01538493,rtcc
29.9788372,-90.01585008,rtcc
29.93735064,-90.11841777,rtcc
29.96983924,-90.12115323,rtcc
29.9719724,-90.12045034,rtcc
29.97375446,-90.11998686,rtcc
29.96226629,-90.12319437,rtcc
29.92051075,-90.10539925,rtcc
29.97118888,-90.12121901,rtcc
30.00514686,-90.05142577,rtcc
29.9691987,-90.12190922,rtcc
29.94381065,-90.12175204,rtcc
29.91713135,-90.10123512,rtcc
29.97716054,-90.01341983,rtcc
29.92527095,-90.02109245,rtcc
29.96459278,-90.00883537,rtcc
29.92254101,-90.0225093,rtcc
29.99247682,-90.1096089,rtcc
30.00184966,-90.03581684,rtcc
29.94140188,-90.12365288,rtcc
29.9655279,-90.12577769,rtcc
29.99394125,-90.10948612,rtcc
29.97763137,-90.010527,rtcc
29.93300011,-90.12059221,rtcc
29.94059635,-90.12428761,rtcc
30.00564932,-90.04108331,rtcc
29.91866595,-90.02259691,rtcc
29.98827047,-90.11676173,rtcc
29.96860201,-90.12715615,rtcc
29.93901449,-90.12553522,rtcc
29.935158,-90.12381401,rtcc
29.96762038,-90.12805954,rtcc
29.95499961,-90.12946902,rtcc
30.00540584,-90.03638919,rtcc
30.0116722,-90.07486017,rtcc
30.00388776,-90.10047706,rtcc
30.01230732,-90.06017376,rtcc
29.92088541,-90.1150943,rtcc
29.91647797,-90.11064664,rtcc
29.94736921,-90.12979152,rtcc
30.00516303,-90.03313122,rtcc
29.93723247,-90.12692613,rtcc
29.95631393,-90.1310832,rtcc
29.941346,-90.12888029,rtcc
29.92181568,-90.01465646,rtcc
29.97049441,-90.00262661,rtcc
29.94878597,-90.1315516,rtcc
29.95217393,-90.13247886,rtcc
