latitude,longitude,set
29.93861979,-90.1211254,calls_for_service
29.96460858,-90.05638289,calls_for_service
29.94809535,-90.04712154,calls_for_service
30.00613049,-90.03410537,calls_for_service
30.00957873,-90.11739874,calls_for_service
29.97209601,-90.10336265,calls_for_service
29.93819548,-90.12931481,calls_for_service
29.91755888,-89.98406169,calls_for_service
29.96180421,-90.0425763,calls_for_service
29.97273303,-90.06699306,calls_for_service
29.96615549,-90.05533277,calls_for_service
29.99410798,-90.10905658,calls_for_service
29.99016874,-90.05764244,calls_for_service
29.97383736,-90.09028512,calls_for_service
29.99868973,-90.06163188,calls_for_service
30.01393037,-90.1057038,calls_for_service
29.92403747,-90.01822937,calls_for_service
29.96586211,-90.05189272,calls_for_service
29.94091941,-90.03270576,calls_for_service
29.96750199,-90.01835513,calls_for_service
29.93619006,-90.01276801,calls_for_service
29.95478769,-90.04480722,calls_for_service
29.99917758,-90.06262456,calls_for_service
29.9262629,-90.09226314,calls_for_service
29.97813226,-90.09041411,calls_for_service
30.00427497,-90.12164207,calls_for_service
29.98336334,-90.07184858,calls_for_service
29.96426253,-90.00871472,calls_for_service
29.96599779,-90.03633901,calls_for_service
29.93240826,-90.08358823,calls_for_service
29.94607785,-90.09849426,calls_for_service
30.00871273,-90.11838454,calls_for_service
29.92677172,-90.09971404,calls_for_service
30.00825062,-90.10331991,calls_for_service
29.97009529,-90.10871787,calls_for_service
29.97062974,-90.03445086,calls_for_service
29.92151236,-89.9792453,calls_for_service
29.97640748,-90.09413353,calls_for_service
29.92129885,-90.02268099,calls_for_service
29.91658321,-90.10303719,calls_for_service
30.00540199,-90.03638978,calls_for_service
29.97502113,-90.09206731,calls_for_service
29.97062974,-90.03445086,calls_for_service
29.97217203,-90.03542126,calls_for_service
29.98124025,-90.09506959,calls_for_service
29.96361167,-90.04144591,calls_for_service
30.03062491,-89.99484998,calls_for_service
29.92581669,-90.01971498,calls_for_service
30.00303088,-90.11055172,calls_for_service
30.01167141,-90.10065541,calls_for_service
29.96838964,-90.05927866,calls_for_service
29.97052548,-90.10684733,calls_for_service
29.96198951,-90.05387131,calls_for_service
29.95453316,-90.07867515,calls_for_service
29.96719412,-90.04246753,calls_for_service
29.97513619,-90.06560816,calls_for_service
29.98136133,-90.08832175,calls_for_service
29.96461616,-90.03674621,calls_for_service
30.06768462,-89.94499022,calls_for_service
30.0348368,-89.98131343,calls_for_service
29.98095326,-90.09905663,calls_for_service
29.96639497,-90.04459049,calls_for_service
29.95378449,-90.0139579,calls_for_service
29.94768064,-90.06270271,calls_for_service
30.0014804,-90.11610742,calls_for_service
30.02190989,-90.02446737,calls_for_service
29.9672962,-90.07776802,calls_for_service
30.01101407,-90.08245122,calls_for_service
29.94002237,-90.0253334,calls_for_service
29.94267701,-90.0946948,calls_for_service
30.0066266,-90.10554126,calls_for_service
29.97604764,-90.09948677,calls_for_service
29.96859816,-90.04955707,calls_for_service
29.9618309,-90.07342801,calls_for_service
29.92112868,-90.01158307,calls_for_service
29.91704318,-90.10237332,calls_for_service
29.98970259,-90.10812238,calls_for_service
29.96426253,-90.00871472,calls_for_service
29.91479659,-89.98624445,calls_for_service
29.96544758,-90.08787468,calls_for_service
29.91947218,-90.02262177,calls_for_service
29.97870083,-90.10694927,calls_for_service
29.96988341,-90.04986332,calls_for_service
29.97604764,-90.09948677,calls_for_service
30.00527738,-90.03633042,calls_for_service
29.9869269,-90.03116188,calls_for_service
30.0194866,-90.1064762,calls_for_service
29.98336053,-90.07134643,calls_for_service
30.05767664,-89.96810874,calls_for_service
29.9406974,-90.02225428,calls_for_service
