address,1,set
"Newton at Thayer, New Orleans, LA 70114, USA","(29.94525, -90.043134)",cameras
"3000 Bienville St, New Orleans, LA 70119, USA","(29.9692591, -90.0893061)",cameras
"2900 Ursulines Ave, New Orleans, LA 70119, USA","(29.9753483, -90.0827652)",cameras
"15 Marigny St, New Orleans, LA 70122, USA","(29.9787644, -90.0562674)",cameras
"2555 N Derbigny St, New Orleans, LA 70117, USA","(29.9752356, -90.0491085)",cameras
"Opelousas at Whitney, New Orleans, LA 70114, USA","(29.94829499999999, -90.04064749999999)",cameras
"412 N Salcedo St, New Orleans, LA 70119, USA","(29.97097249999999, -90.0886956)",cameras
"1982 N Rocheblave St, New Orleans, LA 70119, USA","(29.9810941, -90.06503049999999)",cameras
"2064 N Rocheblave St, New Orleans, LA 70119, USA","(29.98135319999999, -90.0627353)",cameras
"1543 Gentilly Blvd, New Orleans, LA 70119, USA","(29.9797728, -90.07788780000001)",cameras
"400 N Lopez St, New Orleans, LA 70119, USA","(29.9712804, -90.0893871)",cameras
"Newton + Whitney, New Orleans, LA 70114, USA","(29.945084, -90.041039)",cameras
"2323 Willow St, New Orleans, LA 70113, USA","(29.943554, -90.09053879999999)",cameras
"2355 S Derbigny St, New Orleans, LA 70125, USA","(29.9454258, -90.0919567)",cameras
"2434 Allen St, New Orleans, LA 70119, USA","(29.9822329, -90.0650959)",cameras
"Franklin at N. Prieur, New Orleans, LA 70117, USA","(29.9771495, -90.04831899999999)",cameras
"1842 Almonaster Ave, New Orleans, LA 70117, USA","(29.9771164, -90.0480097)",cameras
"Jackson at St Charles, New Orleans, LA 70130, USA","(29.9340115, -90.08055949999999)",cameras
"LePage Place, Esplanade Ave &, Lepage St, New Orleans, LA 70119, USA","(29.9789571, -90.08239789999999)",cameras
"403 S Lopez St, New Orleans, LA 70119, USA","(29.9659013, -90.0945961)",cameras
"1900 Magazine St, New Orleans, LA 70130, USA","(29.9314571, -90.0738739)",cameras
"2500 Second St, New Orleans, LA 70113, USA","(29.9398483, -90.0892045)",cameras
"3231 Second St, New Orleans, LA 70125, USA","(29.9463166, -90.0937519)",cameras
"1049 Independence St, New Orleans, LA 70117, USA","(29.9660308, -90.0379586)",cameras
"Chartres + Mazant, New Orleans, LA 70117, USA","(29.960338, -90.03584099999999)",cameras
"St Bernard at Broad, New Orleans, LA 70119, USA","(29.9834475, -90.0718155)",cameras
"500 N Norman C Francis Parkway, New Orleans, LA 70119, USA","(29.9727042, -90.0910868)",cameras
"401 N Norman C Francis Parkway, New Orleans, LA 70119, USA","(29.9729796, -90.092017)",cameras
"1684 Chippewa St, New Orleans, LA 70130, USA","(29.9297868, -90.07005989999999)",cameras
"St Claude + Alvar, New Orleans, LA 70117, USA","(29.965761, -90.036464)",cameras
"3120 Canal St, New Orleans, LA 70119, USA","(29.9701691, -90.0943451)",cameras
"1834 Second St, New Orleans, LA 70113, USA","(29.934743, -90.0854396)",cameras
"1529 L B Landry Ave, New Orleans, LA 70114, USA","(29.9392052, -90.04166959999999)",cameras
"1957 Newton St, New Orleans, LA 70114, USA","(29.9448427, -90.0369205)",cameras
"3534 Toulouse St, New Orleans, LA 70119, USA","(29.9749109, -90.09228329999999)",cameras
"2202 Fourth St, New Orleans, LA 70113, USA","(29.9363407, -90.0890544)",cameras
"2712 S Johnson St, New Orleans, LA 70125, USA","(29.9459388, -90.09639080000001)",cameras
"1311 Mystery St, New Orleans, LA 70119, USA","(29.9802364, -90.0850985)",cameras
"Washington at LaSalle, New Orleans, LA, USA","(29.937573, -90.0909085)",cameras
"2451 Law St, New Orleans, LA 70117, USA","(29.9841379, -90.05435519999999)",cameras
"1840 St Thomas St, New Orleans, LA 70130, USA","(29.927878, -90.0697223)",cameras
"3610 Toulouse St, New Orleans, LA 70119, USA","(29.9751951, -90.0930034)",cameras
"4300 N Rampart St, New Orleans, LA 70117, USA","(29.9636767, -90.0328812)",cameras
"3035 Toledano St, New Orleans, LA 70125, USA","(29.94359, -90.0967222)",cameras
"Esplanade + Verna, New Orleans, LA 70119, USA","(29.98132799999999, -90.086106)",cameras
"1825 Gentilly Blvd, New Orleans, LA 70119, USA","(29.9857103, -90.07666739999999)",cameras
"755 S Norman C Francis Parkway, New Orleans, LA 70119, USA","(29.9631476, -90.0999995)",cameras
"S. Claiborne + Toledano, New Orleans, LA 70115, USA","(29.94122, -90.096349)",cameras
"3100 Eden St, New Orleans, LA 70125, USA","(29.9514533, -90.1012125)",cameras
"2101 Paris Rd, New Orleans, LA 70129, USA","(29.9343378, -90.0902101)",cameras
"500 N Cortez St, New Orleans, LA 70119, USA","(29.9755558, -90.0941721)",cameras
"St Charles at Washington, New Orleans, LA, USA","(29.93094159999999, -90.0859959)",cameras
"3966 Louisiana Ave Pkwy, New Orleans, LA 70125, USA","(29.9502342, -90.10132469999999)",cameras
"St Claude + Poland, New Orleans, LA 70117, USA","(29.964683, -90.03168699999999)",cameras
"2222 N Broad St, New Orleans, LA 70119, USA","(29.9881468, -90.06720539999999)",cameras
"1836 Sixth St, New Orleans, LA 70115, USA","(29.9325195, -90.0893143)",cameras
"1340 France St, New Orleans, LA 70117, USA","(29.9681662, -90.0328627)",cameras
"4340 Washington Ave, New Orleans, LA 70125, USA","(29.953866, -90.10283299999999)",cameras
"Jackson at St Thomas, New Orleans, LA 70130, USA","(29.9256015, -90.07331150000002)",cameras
"1423 Washington Ave, New Orleans, LA 70130, USA","(29.9291797, -90.0844322)",cameras
"420 N Scott St, New Orleans, LA 70119, USA","(29.9760846, -90.0956657)",cameras
"Desire at N. Galvez, New Orleans, LA 70117, USA","(29.97705849999999, -90.037447)",cameras
"N. Broad + Treasure, New Orleans, LA 70122, USA","(29.989271, -90.06620099999999)",cameras
"Elysian Fields + Abundance, New Orleans, LA 70122, USA","(29.988905, -90.058646)",cameras
"601 S Cortez St, New Orleans, LA 70119, USA","(29.968176, -90.1016088)",cameras
"St Bernard + Desaix, New Orleans, LA 70119, USA","(29.988763, -90.075054)",cameras
"2743 Amelia St, New Orleans, LA 70115, USA","(29.93876209999999, -90.097843)",cameras
"Paris Ave. + Gentilly, New Orleans, LA 70119, USA","(29.98947, -90.07315299999999)",cameras
"3116 Paris Ave, New Orleans, LA 70119, USA","(29.9898094, -90.0732642)",cameras
"1401 S Norman C Francis Parkway, New Orleans, LA 70125, USA","(29.956389, -90.1047906)",cameras
"1199 S Norman C Francis Parkway, New Orleans, LA 70125, USA","(29.9578706, -90.1048373)",cameras
"S. Claiborne + General Taylor, New Orleans, LA 70115, USA","(29.940266, -90.099994)",cameras
"Whitney @ General De Gaulle, New Orleans, LA 70114, USA","(29.930767, -90.04188099999999)",cameras
"406 N Carrollton Ave, New Orleans, LA 70119, USA","(29.977263, -90.0972929)",cameras
"173 Orleans Ave, New Orleans, LA 70119, USA","(29.9794117, -90.0958038)",cameras
"3848 Napoleon Ave, New Orleans, LA 70125, USA","(29.9488618, -90.1047293)",cameras
"3808 Trafalgar St, New Orleans, LA 70119, USA","(29.9876445, -90.0831271)",cameras
"N. Carrollton at St Louis, New Orleans, LA 70119, USA","(29.977685, -90.097482)",cameras
"3400 New Orleans St, New Orleans, LA 70122, USA","(29.9914256, -90.06698670000002)",cameras
"1600 Lauradale Dr, New Orleans, LA 70114, USA","(29.9382956, -90.03252549999999)",cameras
"1740 Farragut St, New Orleans, LA 70114, USA","(29.936457, -90.034013)",cameras
"621 S Pierce St, New Orleans, LA 70119, USA","(29.9691232, -90.10379689999999)",cameras
"4704 S Carrollton Ave, New Orleans, LA 70119, USA","(29.97364009999999, -90.1009227)",cameras
"2601 Chippewa St, New Orleans, LA 70130, USA","(29.9237356, -90.07846099999999)",cameras
"127 N Carrollton Ave, New Orleans, LA 70119, USA","(29.9753396, -90.100285)",cameras
"3601 S Saratoga St, New Orleans, LA 70115, USA","(29.9322968, -90.0956101)",cameras
"745 Washington Ave, New Orleans, LA 70130, USA","(29.9236712, -90.0803754)",cameras
"Louisiana at St Charles, New Orleans, LA 70115, USA","(29.9282351, -90.09146419999999)",cameras
"502 N Solomon St, New Orleans, LA 70119, USA","(29.9788265, -90.0991205)",cameras
"4037 Octavia St, New Orleans, LA 70125, USA","(29.9525086, -90.1075951)",cameras
