item_number,location
f0706418,"7XX Conti St, New Orleans, Louisiana"
f0706418,"7XX Conti St, New Orleans, Louisiana"
d0482018,"14XX Urania St, New Orleans, Louisiana"
d0482018,"14XX Urania St, New Orleans, Louisiana"
f0416318,"8XX Felicity St, New Orleans, Louisiana"
f0416318,"8XX Felicity St, New Orleans, Louisiana"
f0416318,"8XX Felicity St, New Orleans, Louisiana"
e3986418,"39XX Downman Rd, New Orleans, Louisiana"
l0935618,"7th St & Coliseum St, New Orleans, Louisiana"
g3034918,"43XX Downman Rd, New Orleans, Louisiana"
e1634018,"14XX Lafreniere St, New Orleans, Louisiana"
e1634018,"14XX Lafreniere St, New Orleans, Louisiana"
i2519518,"Brooklyn & Teche, New Orleans, Louisiana"
i2519518,"Brooklyn & Teche, New Orleans, Louisiana"
i2519518,"Brooklyn & Teche, New Orleans, Louisiana"
i2519518,"Brooklyn & Teche, New Orleans, Louisiana"
i2519518,"Brooklyn & Teche, New Orleans, Louisiana"
i2519518,"Brooklyn & Teche, New Orleans, Louisiana"
i2262618,"Basin St & Saint Louis St, New Orleans, Louisiana"
i2262618,"Basin St & Saint Louis St, New Orleans, Louisiana"
e1585918,"16XX Milton St, New Orleans, Louisiana"
e3354518,"2XX N Roman St, New Orleans, Louisiana"
f1236018,"2XX Basin St, New Orleans, Louisiana"
f1236018,"2XX Basin St, New Orleans, Louisiana"
f1236018,"2XX Basin St, New Orleans, Louisiana"
f1236018,"2XX Basin St, New Orleans, Louisiana"
f1236018,"2XX Basin St, New Orleans, Louisiana"
f1236018,"2XX Basin St, New Orleans, Louisiana"
i3082218,"Bourbon St & Iberville St, New Orleans, Louisiana"
i3082218,"Bourbon St & Iberville St, New Orleans, Louisiana"
f0993818,"63XX Woodland Hw, New Orleans, Louisiana"
f0993818,"63XX Woodland Hw, New Orleans, Louisiana"
j1637918,"30XX Earhart Bd, New Orleans, Louisiana"
j1637918,"30XX Earhart Bd, New Orleans, Louisiana"
j1637918,"30XX Earhart Bd, New Orleans, Louisiana"
j1637918,"30XX Earhart Bd, New Orleans, Louisiana"
j1637918,"30XX Earhart Bd, New Orleans, Louisiana"
j1637918,"30XX Earhart Bd, New Orleans, Louisiana"
f0735718,"27XX La Salle St, New Orleans, Louisiana"
l1450018,"3XX Bourbon St, New Orleans, Louisiana"
h1426218,"27XX Annunciation St, New Orleans, Louisiana"
h1426218,"27XX Annunciation St, New Orleans, Louisiana"
h1426218,"27XX Annunciation St, New Orleans, Louisiana"
h1426218,"27XX Annunciation St, New Orleans, Louisiana"
f1162018,"61XX Tullis Dr, New Orleans, Louisiana"
f0555018,"29XX Josephine St, New Orleans, Louisiana"
k3167818,"82XX Earhart Bd, New Orleans, Louisiana"
j3590618,"29XX Elysian Fields Av, New Orleans, Louisiana"
j3590618,"29XX Elysian Fields Av, New Orleans, Louisiana"
j3590618,"29XX Elysian Fields Av, New Orleans, Louisiana"
j3590618,"29XX Elysian Fields Av, New Orleans, Louisiana"
j3590618,"29XX Elysian Fields Av, New Orleans, Louisiana"
j3590618,"29XX Elysian Fields Av, New Orleans, Louisiana"
j3590618,"29XX Elysian Fields Av, New Orleans, Louisiana"
j3590618,"29XX Elysian Fields Av, New Orleans, Louisiana"
j3590618,"29XX Elysian Fields Av, New Orleans, Louisiana"
j3590618,"29XX Elysian Fields Av, New Orleans, Louisiana"
d2978818,"Canal St & Exchange Pl, New Orleans, Louisiana"
f1032218,"8XX Saint Louis St, New Orleans, Louisiana"
f1032218,"8XX Saint Louis St, New Orleans, Louisiana"
i2412618,"N Robertson St & Ursulines Av, New Orleans, Louisiana"
i2412618,"N Robertson St & Ursulines Av, New Orleans, Louisiana"
i3802618,"Canal St & Carondelet St, New Orleans, Louisiana"
e3504018,"84XX S I-10 Service Rd, New Orleans, Louisiana"
e3504018,"84XX S I-10 Service Rd, New Orleans, Louisiana"
e3504018,"84XX S I-10 Service Rd, New Orleans, Louisiana"
i2248218,"Iberville St & Basin St, New Orleans, Louisiana"
i2248218,"Iberville St & Basin St, New Orleans, Louisiana"
f1562218,"18XX Tchoupitoulas St, New Orleans, Louisiana"
f1562218,"18XX Tchoupitoulas St, New Orleans, Louisiana"
e0001118,"10XX Bartholomew St, New Orleans, Louisiana"
l3281518,"Magnolia Av & Martin Luther King Jr Bd, New Orleans, Louisiana"
h1210918,"2XX Chartres St, New Orleans, Louisiana"
h1210918,"2XX Chartres St, New Orleans, Louisiana"
i3174118,"Basin St & Iberville St, New Orleans, Louisiana"
f0810718,"18XX N Broad St, New Orleans, Louisiana"
f0810718,"18XX N Broad St, New Orleans, Louisiana"
f0810718,"18XX N Broad St, New Orleans, Louisiana"
f0810718,"18XX N Broad St, New Orleans, Louisiana"
f0810718,"18XX N Broad St, New Orleans, Louisiana"
f0810718,"18XX N Broad St, New Orleans, Louisiana"
f1492918,"Royal St & Bienville St, New Orleans, Louisiana"
i2909218,"Treme St & Iberville St, New Orleans, Louisiana"
i2909218,"Treme St & Iberville St, New Orleans, Louisiana"
f1843218,"12XX Canal St, New Orleans, Louisiana"
f1793018,"2XX Bourbon St, New Orleans, Louisiana"
f1793018,"2XX Bourbon St, New Orleans, Louisiana"
f1793018,"2XX Bourbon St, New Orleans, Louisiana"
l3131718,"9XX Bourbon St, New Orleans, Louisiana"
d0385818,"67XX Chef Menteur Hw, New Orleans, Louisiana"
k0434418,"1XX Carondelet St, New Orleans, Louisiana"
k0434418,"1XX Carondelet St, New Orleans, Louisiana"
k0434418,"1XX Carondelet St, New Orleans, Louisiana"
f1893318,"82XX Earhart Bd, New Orleans, Louisiana"
g3861518,"Decatur St & Esplanade Av, New Orleans, Louisiana"
f2224418,"34XX S Carrollton Av, New Orleans, Louisiana"
f2224418,"34XX S Carrollton Av, New Orleans, Louisiana"
f2224418,"34XX S Carrollton Av, New Orleans, Louisiana"
f2224418,"34XX S Carrollton Av, New Orleans, Louisiana"
d2314518,"Convention Center Bd & Poydras St, New Orleans, Louisiana"
d2314518,"Convention Center Bd & Poydras St, New Orleans, Louisiana"
i3028518,"Bienville St & Crozat St, New Orleans, Louisiana"
i3028518,"Bienville St & Crozat St, New Orleans, Louisiana"
d0130418,"Dauphine St & Canal St, New Orleans, Louisiana"
f2360018,"Dauphine St & Toulouse St, New Orleans, Louisiana"
f0450618,"Harrison & St Bernard Av, New Orleans, Louisiana"
f0450618,"Harrison & St Bernard Av, New Orleans, Louisiana"
f0450618,"Harrison & St Bernard Av, New Orleans, Louisiana"
f0450618,"Harrison & St Bernard Av, New Orleans, Louisiana"
f2447018,"8XX Bourbon St, New Orleans, Louisiana"
f2447018,"8XX Bourbon St, New Orleans, Louisiana"
j0080118,"6XX Frenchmen St, New Orleans, Louisiana"
j2281018,"11XX S Jefferson Davis Pw, New Orleans, Louisiana"
j2281018,"11XX S Jefferson Davis Pw, New Orleans, Louisiana"
h0534718,"34XX S Carrollton Av, New Orleans, Louisiana"
f2851118,"Bourbon St & Orleans St, New Orleans, Louisiana"
f2851118,"Bourbon St & Orleans St, New Orleans, Louisiana"
f2851118,"Bourbon St & Orleans St, New Orleans, Louisiana"
f2851118,"Bourbon St & Orleans St, New Orleans, Louisiana"
f2851118,"Bourbon St & Orleans St, New Orleans, Louisiana"
f2851118,"Bourbon St & Orleans St, New Orleans, Louisiana"
f2851118,"Bourbon St & Orleans St, New Orleans, Louisiana"
f2851118,"Bourbon St & Orleans St, New Orleans, Louisiana"
f2851118,"Bourbon St & Orleans St, New Orleans, Louisiana"
f2851118,"Bourbon St & Orleans St, New Orleans, Louisiana"
f2851118,"Bourbon St & Orleans St, New Orleans, Louisiana"
f2851118,"Bourbon St & Orleans St, New Orleans, Louisiana"
f2851118,"Bourbon St & Orleans St, New Orleans, Louisiana"
f2851118,"Bourbon St & Orleans St, New Orleans, Louisiana"
f2851118,"Bourbon St & Orleans St, New Orleans, Louisiana"
f2851118,"Bourbon St & Orleans St, New Orleans, Louisiana"
f2851118,"Bourbon St & Orleans St, New Orleans, Louisiana"
f2851118,"Bourbon St & Orleans St, New Orleans, Louisiana"
f2851118,"Bourbon St & Orleans St, New Orleans, Louisiana"
f2851118,"Bourbon St & Orleans St, New Orleans, Louisiana"
f2709118,"Homer & Teche, New Orleans, Louisiana"
f2709118,"Homer & Teche, New Orleans, Louisiana"
f2709118,"Homer & Teche, New Orleans, Louisiana"
f2709118,"Homer & Teche, New Orleans, Louisiana"
f2709118,"Homer & Teche, New Orleans, Louisiana"
f2709118,"Homer & Teche, New Orleans, Louisiana"
f2709118,"Homer & Teche, New Orleans, Louisiana"
f2709118,"Homer & Teche, New Orleans, Louisiana"
f2709118,"Homer & Teche, New Orleans, Louisiana"
j0224018,"119XX Bullard Av, New Orleans, Louisiana"
j0224018,"119XX Bullard Av, New Orleans, Louisiana"
f2482118,"4XX Bourbon St, New Orleans, Louisiana"
f2482118,"4XX Bourbon St, New Orleans, Louisiana"
f2482118,"4XX Bourbon St, New Orleans, Louisiana"
f2482118,"4XX Bourbon St, New Orleans, Louisiana"
l2338418,"Treme St & Conti St, New Orleans, Louisiana"
l2338418,"Treme St & Conti St, New Orleans, Louisiana"
f0007718,"30XX Vespasian Bd, New Orleans, Louisiana"
g2701218,"1XX Bourbon St, New Orleans, Louisiana"
g2701218,"1XX Bourbon St, New Orleans, Louisiana"
g3539818,"4XX Basin St, New Orleans, Louisiana"
g3539818,"4XX Basin St, New Orleans, Louisiana"
g3539818,"4XX Basin St, New Orleans, Louisiana"
g3539818,"4XX Basin St, New Orleans, Louisiana"
f0753918,"Kerlerec St & Henriette Delille St, New Orleans, Louisiana"
f2739918,"Martin Luther King Jr Bd & S Lopez St, New Orleans, Louisiana"
f2739918,"Martin Luther King Jr Bd & S Lopez St, New Orleans, Louisiana"
h1491518,"Basin St & Conti St, New Orleans, Louisiana"
h1491518,"Basin St & Conti St, New Orleans, Louisiana"
h1491518,"Basin St & Conti St, New Orleans, Louisiana"
e0403418,"32XX S Carrollton Av, New Orleans, Louisiana"
e0403418,"32XX S Carrollton Av, New Orleans, Louisiana"
f2160418,"N Claiborne Av & Saint Philip St, New Orleans, Louisiana"
f3465018,"N Claiborne Av & Lapeyrouse St, New Orleans, Louisiana"
f2401818,"15XX Tita St, New Orleans, Louisiana"
f2401818,"15XX Tita St, New Orleans, Louisiana"
f2401818,"15XX Tita St, New Orleans, Louisiana"
f2401818,"15XX Tita St, New Orleans, Louisiana"
f2401818,"15XX Tita St, New Orleans, Louisiana"
f2401818,"15XX Tita St, New Orleans, Louisiana"
l2357418,"3XX Basin St, New Orleans, Louisiana"
l3333718,"12XX N Broad St, New Orleans, Louisiana"
l3344518,"Gentilly Bd & Frenchmen St, New Orleans, Louisiana"
f3642618,"8XX Canal St, New Orleans, Louisiana"
f3642618,"8XX Canal St, New Orleans, Louisiana"
f3642618,"8XX Canal St, New Orleans, Louisiana"
j0250918,"12XX L B Landry Av, New Orleans, Louisiana"
j0250918,"12XX L B Landry Av, New Orleans, Louisiana"
j0250918,"12XX L B Landry Av, New Orleans, Louisiana"
j0250918,"12XX L B Landry Av, New Orleans, Louisiana"
f3241918,"2XX Bourbon St, New Orleans, Louisiana"
f2150518,"18XX Saint Roch Av, New Orleans, Louisiana"
i3591118,"Esplanade St & Henriette Delille St, New Orleans, Louisiana"
i3591118,"Esplanade St & Henriette Delille St, New Orleans, Louisiana"
i3591118,"Esplanade St & Henriette Delille St, New Orleans, Louisiana"
i3591118,"Esplanade St & Henriette Delille St, New Orleans, Louisiana"
i3591118,"Esplanade St & Henriette Delille St, New Orleans, Louisiana"
i3591118,"Esplanade St & Henriette Delille St, New Orleans, Louisiana"
g0019318,"7XX Bourbon St, New Orleans, Louisiana"
g0019318,"7XX Bourbon St, New Orleans, Louisiana"
g0019318,"7XX Bourbon St, New Orleans, Louisiana"
f3208918,"N Derbigny St & Spain St, New Orleans, Louisiana"
f3208918,"N Derbigny St & Spain St, New Orleans, Louisiana"
f3208918,"N Derbigny St & Spain St, New Orleans, Louisiana"
e1071218,"57XX Prince Ln, New Orleans, Louisiana"
j0392118,"Michael St & Terry St, New Orleans, Louisiana"
l3354618,"21XX Foucher St, New Orleans, Louisiana"
l3354618,"21XX Foucher St, New Orleans, Louisiana"
l0807718,"11XX Bourbon St, New Orleans, Louisiana"
h0476518,"67XX Tara Ln, New Orleans, Louisiana"
h0476518,"67XX Tara Ln, New Orleans, Louisiana"
d3189318,"8XX Marigny St, New Orleans, Louisiana"
d3189318,"8XX Marigny St, New Orleans, Louisiana"
d3189318,"8XX Marigny St, New Orleans, Louisiana"
d3189318,"8XX Marigny St, New Orleans, Louisiana"
g3901518,"65XX Downman Rd, New Orleans, Louisiana"
g3901518,"65XX Downman Rd, New Orleans, Louisiana"
g3901518,"65XX Downman Rd, New Orleans, Louisiana"
g0598718,"23XX Bienville St, New Orleans, Louisiana"
g0598718,"23XX Bienville St, New Orleans, Louisiana"
g0598718,"23XX Bienville St, New Orleans, Louisiana"
g0569718,"30XX Gentilly Bd, New Orleans, Louisiana"
g0569718,"30XX Gentilly Bd, New Orleans, Louisiana"
g0569718,"30XX Gentilly Bd, New Orleans, Louisiana"
k2253118,"7XX Dauphine St, New Orleans, Louisiana"
g0821818,"18XX Saint Thomas St D, New Orleans, Louisiana"
g0821818,"18XX Saint Thomas St D, New Orleans, Louisiana"
k1967418,"5XX Burgundy St, New Orleans, Louisiana"
k0305918,"Conti St & Burgundy St, New Orleans, Louisiana"
g0447518,"Canal St & Bourbon St, New Orleans, Louisiana"
f2943118,"36XX S Carrollton Av, New Orleans, Louisiana"
f2943118,"36XX S Carrollton Av, New Orleans, Louisiana"
d1022718,"Ray Av & Dreux Av, New Orleans, Louisiana"
i3788918,"X Shepard Ct A, New Orleans, Louisiana"
h1690818,"83XX Palm St, New Orleans, Louisiana"
h1690818,"83XX Palm St, New Orleans, Louisiana"
f0123718,"31XX S Carrollton Av, New Orleans, Louisiana"
f0123718,"31XX S Carrollton Av, New Orleans, Louisiana"
