,occurred_date_time,latitude,longitude,hour,item_number,occurred_date,occurred_time
70160,2020-08-18 16:30:00,29.9418346,-90.0684435,16,h2165820,2020-08-18,16:30:00
70192,2020-08-18 18:15:00,29.9418346,-90.0684435,18,h2165820,2020-08-18,18:15:00
70372,2020-08-19 07:45:00,29.943404,-90.1342523,7,h2222820,2020-08-19,07:45:00
70373,2020-08-19 07:45:00,29.9542547,-90.0730513,7,h2244220,2020-08-19,07:45:00
70377,2020-08-19 07:45:00,29.9542547,-90.0730513,7,h2244220,2020-08-19,07:45:00
70381,2020-08-19 07:45:00,29.9542547,-90.0730513,7,h2244220,2020-08-19,07:45:00
70385,2020-08-19 08:30:00,29.9542547,-90.0730513,8,h2244220,2020-08-19,08:30:00
70389,2020-08-19 10:42:00,29.9201093,-90.0220563,10,h2299620,2020-08-19,10:42:00
70436,2020-08-20 10:23:00,29.9563595,-90.1313197,10,h2388320,2020-08-20,10:23:00
70438,2020-08-20 10:23:00,29.9563595,-90.1313197,10,h2388320,2020-08-20,10:23:00
70440,2020-08-20 16:22:00,29.94566,-90.11311080000002,16,h2394620,2020-08-20,16:22:00
70441,2020-08-20 16:22:00,29.9561935,-90.1023876,16,h2400420,2020-08-20,16:22:00
70469,2020-08-20 17:15:00,29.9561935,-90.1023876,17,h2400420,2020-08-20,17:15:00
70497,2020-08-20 18:20:00,29.9561935,-90.1023876,18,h2400420,2020-08-20,18:20:00
70525,2020-08-20 18:20:00,29.9561935,-90.1023876,18,h2400420,2020-08-20,18:20:00
70553,2020-08-20 18:20:00,29.9561935,-90.1023876,18,h2400420,2020-08-20,18:20:00
70581,2020-08-20 18:20:00,29.9561935,-90.1023876,18,h2400420,2020-08-20,18:20:00
70609,2020-08-20 18:20:00,29.9561935,-90.1023876,18,h2400420,2020-08-20,18:20:00
70637,2020-08-20 18:20:00,29.9561935,-90.1023876,18,h2400420,2020-08-20,18:20:00
70665,2020-08-20 18:20:00,29.9561935,-90.1023876,18,h2400420,2020-08-20,18:20:00
