occurred_date_time,latitude,longitude,occurred_date,occurred_time
2018-04-22 23:20:00,29.9392017,-90.0866475,2018-04-22,23:20:00
2018-04-23 01:00:00,29.9392017,-90.0866475,2018-04-23,01:00:00
2018-04-23 02:00:00,30.027116,-89.992026,2018-04-23,02:00:00
2018-04-23 02:00:00,30.027116,-89.992026,2018-04-23,02:00:00
2018-04-24 14:10:00,30.027116,-89.992026,2018-04-24,14:10:00
2018-04-24 19:36:00,30.027116,-89.992026,2018-04-24,19:36:00
2018-04-24 19:36:00,30.0258175,-90.0011773,2018-04-24,19:36:00
2018-04-24 19:36:00,30.0258175,-90.0011773,2018-04-24,19:36:00
2018-04-25 01:47:00,30.0258175,-90.0011773,2018-04-25,01:47:00
2018-04-25 01:47:00,30.0258175,-90.0011773,2018-04-25,01:47:00
2018-04-25 01:47:00,30.0258175,-90.0011773,2018-04-25,01:47:00
2018-04-25 21:17:00,30.0258175,-90.0011773,2018-04-25,21:17:00
2018-04-25 21:17:00,30.0258175,-90.0011773,2018-04-25,21:17:00
2018-04-26 15:00:00,30.0258175,-90.0011773,2018-04-26,15:00:00
2018-04-26 17:15:00,30.0258175,-90.0011773,2018-04-26,17:15:00
2018-04-26 23:25:00,30.0258175,-90.0011773,2018-04-26,23:25:00
2018-04-26 23:25:00,30.0258175,-90.0011773,2018-04-26,23:25:00
2018-04-26 23:25:00,30.0258175,-90.0011773,2018-04-26,23:25:00
2018-04-26 23:25:00,30.0258175,-90.0011773,2018-04-26,23:25:00
2018-04-28 01:00:00,30.0258175,-90.0011773,2018-04-28,01:00:00
2018-04-28 01:00:00,30.0258175,-90.0011773,2018-04-28,01:00:00
2018-04-28 01:45:00,29.9316704,-90.0174135,2018-04-28,01:45:00
2018-04-28 01:45:00,29.9316704,-90.0174135,2018-04-28,01:45:00
2018-04-28 01:45:00,29.9316704,-90.0174135,2018-04-28,01:45:00
2018-04-28 01:45:00,29.9316704,-90.0174135,2018-04-28,01:45:00
2018-04-28 01:45:00,29.9629228,-90.1240107,2018-04-28,01:45:00
2018-04-28 01:45:00,29.9629228,-90.1240107,2018-04-28,01:45:00
2018-04-28 01:45:00,29.9629228,-90.1240107,2018-04-28,01:45:00
2018-04-28 01:45:00,29.9629228,-90.1240107,2018-04-28,01:45:00
2018-04-28 01:45:00,29.9885897,-90.0620161,2018-04-28,01:45:00
2018-04-28 01:45:00,29.9885897,-90.0620161,2018-04-28,01:45:00
2018-04-28 04:30:00,29.9885897,-90.0620161,2018-04-28,04:30:00
2018-04-28 18:19:00,29.9547116,-90.069155,2018-04-28,18:19:00
2018-04-28 18:19:00,29.9386565,-90.0358744,2018-04-28,18:19:00
2018-04-29 01:50:00,29.9355522,-90.0246302,2018-04-29,01:50:00
2018-04-29 03:03:00,29.9355522,-90.0246302,2018-04-29,03:03:00
2018-04-29 14:10:00,29.9461739,-90.1197572,2018-04-29,14:10:00
2018-05-01 00:00:00,29.930204,-90.0192769,2018-05-01,00:00:00
2018-05-02 12:54:00,29.930204,-90.0192769,2018-05-02,12:54:00
2018-05-02 12:54:00,29.930204,-90.0192769,2018-05-02,12:54:00
2018-05-02 12:54:00,29.930204,-90.0192769,2018-05-02,12:54:00
2018-05-02 12:54:00,29.9547116,-90.069155,2018-05-02,12:54:00
2018-05-03 02:00:00,29.9712212,-90.06295709999999,2018-05-03,02:00:00
2018-05-03 06:50:00,29.936456,-90.026733,2018-05-03,06:50:00
2018-05-03 15:30:00,29.936456,-90.026733,2018-05-03,15:30:00
2018-05-03 16:44:00,29.936456,-90.026733,2018-05-03,16:44:00
2018-05-03 16:44:00,29.936456,-90.026733,2018-05-03,16:44:00
2018-05-03 16:44:00,29.9695151,-90.0838153,2018-05-03,16:44:00
2018-05-03 16:44:00,29.9695151,-90.0838153,2018-05-03,16:44:00
2018-05-03 16:44:00,29.9695151,-90.0838153,2018-05-03,16:44:00
2018-05-03 16:44:00,29.9538711,-90.0698991,2018-05-03,16:44:00
2018-05-03 21:11:00,29.9538711,-90.0698991,2018-05-03,21:11:00
2018-05-03 21:11:00,29.9538711,-90.0698991,2018-05-03,21:11:00
2018-05-03 23:34:00,29.9538711,-90.0698991,2018-05-03,23:34:00
